,cleaned_message,urgent_cos_sim,non_urgent_cos_sim,urgent,text,username,coordinates,lat,long,geometry
907,med medical block sw th ave portland portland fire rp pdx,0.1479792081896542,0.1381163624739851,1,"MED - MEDICAL at 400 BLOCK OF SW 6TH AVE, PORTLAND, OR [Portland Fire #RP18000096354] 00:35 #pdx911",Mult Co Fire/EMS log,"(39.75216451576848, -121.62419634218422)",39.75216451576848,-121.62419634218422,POINT (-121.6241963421842 39.75216451576848)
908,med medical block ne roth st portland portland fire rp pdx,0.14480899681177373,0.13994440257286989,1,"MED - MEDICAL at 500 BLOCK OF NE ROTH ST, PORTLAND, OR [Portland Fire #RP18000096356] 00:44 #pdx911",Mult Co Fire/EMS log,"(39.706692386458826, -121.66408480112796)",39.706692386458826,-121.66408480112796,POINT (-121.664084801128 39.70669238645883)
909,med medical block sw washington st portland portland fire rp pdx,0.1447325890615372,0.1381746226298144,1,"MED - MEDICAL at 1300 BLOCK OF SW WASHINGTON ST, PORTLAND, OR [Portland Fire #RP18000096348] 23:41 #pdx911",Mult Co Fire/EMS log,"(39.84460509383374, -121.80513615677079)",39.84460509383374,-121.80513615677079,POINT (-121.8051361567708 39.84460509383374)
910,med medical block se hawthorne blvd portland portland fire rp pdx,0.14580606784520928,0.13410082201356954,1,"MED - MEDICAL at 1900 BLOCK OF SE HAWTHORNE BLVD, PORTLAND, OR [Portland Fire #RP18000096351] 00:19 #pdx911",Mult Co Fire/EMS log,"(39.61482277676776, -121.72850461442938)",39.61482277676776,-121.72850461442938,POINT (-121.7285046144294 39.61482277676776)
911,dayphotochallenge day smoke shotondslr en tijuana baja california,0.1407160994062574,0.13157891313978282,1,"#30dayphotochallenge #day21 #smoke #shotonDSLR en Tijuana, Baja California https://www.instagram.com/p/Bqee6ChjZZfsIeLjjZRxg5ftrSlAflKz6VnDyQ0/?utm_source=ig_twitter_share&igshid=2chojzsaiy1n …",aalan,"(39.89406203515573, -121.6586582274104)",39.89406203515573,-121.6586582274104,POINT (-121.6586582274104 39.89406203515573)
912,med medical block n syracuse st portland portland fire rp pdx,0.1446088037410475,0.14032548475110293,1,"MED - MEDICAL at 8800 BLOCK OF N SYRACUSE ST, PORTLAND, OR [Portland Fire #RP18000096347] 23:40 #pdx911",Mult Co Fire/EMS log,"(39.64442980806719, -121.49810575126916)",39.64442980806719,-121.49810575126916,POINT (-121.4981057512692 39.64442980806719)
913,med medical block ne flanders st portland portland fire rp pdx,0.14662448794321248,0.13725570938610698,1,"MED - MEDICAL at 5200 BLOCK OF NE FLANDERS ST, PORTLAND, OR [Portland Fire #RP18000096350] 23:52 #pdx911",Mult Co Fire/EMS log,"(39.760653691612816, -121.61872266755339)",39.760653691612816,-121.61872266755339,POINT (-121.6187226675534 39.76065369161282)
914,med medical block sw palatine hill rd portland portland fire rp pdx,0.14353901657128718,0.13707943876161044,1,"MED - MEDICAL at 600 BLOCK OF SW PALATINE HILL RD, PORTLAND, OR [Portland Fire #RP18000096342] 23:20 #pdx911",Mult Co Fire/EMS log,"(39.80312613205924, -121.64898612353805)",39.80312613205924,-121.64898612353805,POINT (-121.6489861235381 39.80312613205924)
915,med medical block sw th ave portland portland fire rp pdx,0.1479792081896542,0.1381163624739851,1,"MED - MEDICAL at 800 BLOCK OF SW 4TH AVE, PORTLAND, OR [Portland Fire #RP18000096345] 23:28 #pdx911",Mult Co Fire/EMS log,"(39.7899186899817, -121.70896732455424)",39.7899186899817,-121.70896732455424,POINT (-121.7089673245542 39.7899186899817)
916,med medical block se th ave portland portland fire rp pdx,0.14841589830592247,0.14002555460286728,1,"MED - MEDICAL at 2600 BLOCK OF SE 111TH AVE, PORTLAND, OR [Portland Fire #RP18000096339] 23:07 #pdx911",Mult Co Fire/EMS log,"(39.69971352948622, -121.64893725846049)",39.69971352948622,-121.64893725846049,POINT (-121.6489372584605 39.69971352948622)
917,med medical block ne th ave portland portland fire rp pdx,0.14870067712941598,0.1374521647996507,1,"MED - MEDICAL at 4300 BLOCK OF NE 90TH AVE, PORTLAND, OR [Portland Fire #RP18000096340] 23:08 #pdx911",Mult Co Fire/EMS log,"(39.569645699884326, -121.55635346244857)",39.569645699884326,-121.55635346244857,POINT (-121.5563534624486 39.56964569988433)
918,med medical block ne weidler st portland portland fire rp pdx,0.14479618408252787,0.13914296330994588,1,"MED - MEDICAL at 300 BLOCK OF NE WEIDLER ST, PORTLAND, OR [Portland Fire #RP18000096344] 23:28 #pdx911",Mult Co Fire/EMS log,"(39.73791986190379, -121.6238012062822)",39.73791986190379,-121.6238012062822,POINT (-121.6238012062822 39.73791986190379)
919,lock locked block ne th ave portland portland fire rp pdx,0.1485362630158408,0.12857660162135814,1,"LOCK - LOCKED IN/OUT at 3100 BLOCK OF NE 148TH AVE, PORTLAND, OR [Portland Fire #RP18000096349] 23:51 #pdx911",Mult Co Fire/EMS log,"(39.76405055645218, -121.64925975426677)",39.76405055645218,-121.64925975426677,POINT (-121.6492597542668 39.76405055645218)
920,like stevie wonder haappy birthday turkeybirthday thanksgivingbirthday thankful scorpitarius omg iamdelicious paradise nevada,0.14646985246366154,0.14513820154820053,1,"::like Stevie Wonder:: haAPPy BIRthday 2 ME!! #turkeybirthday #thanksgivingbirthday #thankful #scorpitarius #omg #iamdelicious @ Paradise, Nevada https://www.instagram.com/p/Bqeas_sFree/?utm_source=ig_twitter_share&igshid=1e600l1lcw8kn …",erin black irish,"(39.781761920168464, -121.60699589080868)",39.781761920168464,-121.60699589080868,POINT (-121.6069958908087 39.78176192016846)
921,rain raining la pray la rain sound good fire going right well good two edged sword fire burned away undergrowth leaving,0.13012515229407895,0.12598089824449962,1,"RAIN!
It’s raining in LA! Pray for LA
The rain sounds good with the fires going, right? Well, not so good. It’s a two-edged sword. The fires have burned away the undergrowth, leaving… https://www.instagram.com/p/Bqeatpvn6fQ/?utm_source=ig_twitter_share&igshid=1dusd5a1vq1qu …",Scott Sanders,"(39.91306465837159, -121.52036515290321)",39.91306465837159,-121.52036515290321,POINT (-121.5203651529032 39.91306465837159)
922,med medical block se th ave portland portland fire rp pdx,0.14841589830592247,0.14002555460286728,1,"MED - MEDICAL at 1400 BLOCK OF SE 100TH AVE, PORTLAND, OR [Portland Fire #RP18000096336] 22:56 #pdx911",Mult Co Fire/EMS log,"(39.770055678208486, -121.60741143001168)",39.770055678208486,-121.60741143001168,POINT (-121.6074114300117 39.77005567820849)
923,pubast public assist ne th ave ne pacific st portland portland fire rp pdx,0.14975897295567558,0.1478050452375734,1,"PUBAST - PUBLIC ASSIST at NE 99TH AVE / NE PACIFIC ST, PORTLAND, OR [Portland Fire #RP18000096343] 23:22 #pdx911",Mult Co Fire/EMS log,"(39.88659770260688, -121.64339732463765)",39.88659770260688,-121.64339732463765,POINT (-121.6433973246376 39.88659770260688)
924,med medical block se st ave portland portland fire rp pdx,0.14884833103692574,0.142142777988103,1,"MED - MEDICAL at 700 BLOCK OF SE 141ST AVE, PORTLAND, OR [Portland Fire #RP18000096327] 22:15 #pdx911",Mult Co Fire/EMS log,"(39.77447255991128, -121.48809582990737)",39.77447255991128,-121.48809582990737,POINT (-121.4880958299074 39.77447255991128)
925,med medical block ne martin luther king jr blvd portland portland fire rp pdx,0.14653923261113902,0.13867444305342538,1,"MED - MEDICAL at 8000 BLOCK OF NE MARTIN LUTHER KING JR BLVD, PORTLAND, OR [Portland Fire #RP18000096334] 22:44 #pdx911",Mult Co Fire/EMS log,"(39.750016722619485, -121.60237343006312)",39.750016722619485,-121.60237343006312,POINT (-121.6023734300631 39.75001672261948)
926,med medical block se stark st portland portland fire rp pdx,0.14771077151914302,0.1449680487346123,1,"MED - MEDICAL at 3100 BLOCK OF SE STARK ST, PORTLAND, OR [Portland Fire #RP18000096338] 23:02 #pdx911",Mult Co Fire/EMS log,"(39.91317434783888, -121.77093507817996)",39.91317434783888,-121.77093507817996,POINT (-121.77093507818 39.91317434783888)
927,med medical nw rd ave nw marshall st portland portland fire rp pdx,0.14641806254314568,0.14059672004046264,1,"MED - MEDICAL at NW 23RD AVE / NW MARSHALL ST, PORTLAND, OR [Portland Fire #RP18000096341] 23:08 #pdx911",Mult Co Fire/EMS log,"(39.85354380440606, -121.60663440570822)",39.85354380440606,-121.60663440570822,POINT (-121.6066344057082 39.85354380440606)
928,med medical block n montana ave portland portland fire rp pdx,0.15020344028844454,0.13720307083207073,1,"MED - MEDICAL at 8200 BLOCK OF N MONTANA AVE, PORTLAND, OR [Portland Fire #RP18000096326] 22:15 #pdx911",Mult Co Fire/EMS log,"(39.752665235003455, -121.56190988640027)",39.752665235003455,-121.56190988640027,POINT (-121.5619098864003 39.75266523500346)
929,med medical block nw th ave portland portland fire rp pdx,0.14822980692148768,0.1355309489817844,1,"MED - MEDICAL at 500 BLOCK OF NW 6TH AVE, PORTLAND, OR [Portland Fire #RP18000096332] 22:33 #pdx911",Mult Co Fire/EMS log,"(39.766251502490086, -121.62261711915276)",39.766251502490086,-121.62261711915276,POINT (-121.6226171191528 39.76625150249009)
930,med medical block w burnside st portland portland fire rp pdx,0.14630919663324646,0.1404853529287395,1,"MED - MEDICAL at 100 BLOCK OF W BURNSIDE ST, PORTLAND, OR [Portland Fire #RP18000096337] 22:59 #pdx911",Mult Co Fire/EMS log,"(39.702645394362754, -121.5010245476986)",39.702645394362754,-121.5010245476986,POINT (-121.5010245476986 39.70264539436275)
931,med medical block sw multnomah blvd portland portland fire rp pdx,0.14993952240189026,0.14117135856780225,1,"MED - MEDICAL at 5700 BLOCK OF SW MULTNOMAH BLVD, PORTLAND, OR [Portland Fire #RP18000096319] 21:50 #pdx911",Mult Co Fire/EMS log,"(39.874264808648405, -121.53220649771552)",39.874264808648405,-121.53220649771552,POINT (-121.5322064977155 39.87426480864841)
932,med medical block sw rd ave portland portland fire rp pdx,0.14564777733388287,0.13418178479385326,1,"MED - MEDICAL at 1100 BLOCK OF SW 3RD AVE, PORTLAND, OR [Portland Fire #RP18000096333] 22:37 #pdx911",Mult Co Fire/EMS log,"(39.86959106134431, -121.61793337144381)",39.86959106134431,-121.61793337144381,POINT (-121.6179333714438 39.86959106134431)
933,ta ped traffic accident pedestrian bike se nd ave se stark st portland portland fire rp pdx,0.14996230823813342,0.14464543779879666,1,"TA1PED - TRAFFIC ACCIDENT - PEDESTRIAN OR BIKE at SE 162ND AVE / SE STARK ST, PORTLAND, OR [Portland Fire #RP18000096317] 21:47 #pdx911",Mult Co Fire/EMS log,"(39.76054631790932, -121.62233217951484)",39.76054631790932,-121.62233217951484,POINT (-121.6223321795148 39.76054631790932)
934,med medical block sw caruthers st portland portland fire rp pdx,0.1447432048074607,0.1440876947878255,1,"MED - MEDICAL at 600 BLOCK OF SW CARUTHERS ST, PORTLAND, OR [Portland Fire #RP18000096318] 21:49 #pdx911",Mult Co Fire/EMS log,"(39.716031348627524, -121.56411020838327)",39.716031348627524,-121.56411020838327,POINT (-121.5641102083833 39.71603134862752)
935,med medical block n villard ave portland portland fire rp pdx,0.14674769727882572,0.13303624900704206,1,"MED - MEDICAL at 6000 BLOCK OF N VILLARD AVE, PORTLAND, OR [Portland Fire #RP18000096322] 21:57 #pdx911",Mult Co Fire/EMS log,"(39.75629974695595, -121.78412099928767)",39.75629974695595,-121.78412099928767,POINT (-121.7841209992877 39.75629974695595)
936,med medical block se division st portland portland fire rp pdx,0.147659044921435,0.14199358119185848,1,"MED - MEDICAL at 14900 BLOCK OF SE DIVISION ST, PORTLAND, OR [Portland Fire #RP18000096325] 22:03 #pdx911",Mult Co Fire/EMS log,"(39.571016539199704, -121.66555564053517)",39.571016539199704,-121.66555564053517,POINT (-121.6655556405352 39.5710165391997)
937,med medical block sw th ave portland portland fire rp pdx,0.1479792081896542,0.1381163624739851,1,"MED - MEDICAL at 7300 BLOCK OF SW 36TH AVE, PORTLAND, OR [Portland Fire #RP18000096324] 21:59 #pdx911",Mult Co Fire/EMS log,"(39.80048417676635, -121.47286161982244)",39.80048417676635,-121.47286161982244,POINT (-121.4728616198224 39.80048417676635)
938,miscf unknown type fire problem sw th ave sw montgomery st portland portland fire rp pdx,0.14832824039207926,0.14490946291021492,1,"MISCF - UNKNOWN TYPE OF FIRE PROBLEM at SW 16TH AVE / SW MONTGOMERY ST, PORTLAND, OR [Portland Fire #RP18000096331] 22:24 #pdx911",Mult Co Fire/EMS log,"(39.74552521223518, -121.54809555142127)",39.74552521223518,-121.54809555142127,POINT (-121.5480955514213 39.74552521223518)
939,med medical nw broadway nw hoyt st portland portland fire rp pdx,0.13967779327136354,0.13089935067154107,1,"MED - MEDICAL at NW BROADWAY / NW HOYT ST, PORTLAND, OR [Portland Fire #RP18000096329] 22:19 #pdx911",Mult Co Fire/EMS log,"(39.545279378167216, -121.58260450776628)",39.545279378167216,-121.58260450776628,POINT (-121.5826045077663 39.54527937816722)
940,almcom monitored commercial fire alarm block se franklin st portland portland fire rp pdx,0.14300965288347786,0.14259820759614664,1,"ALMCOM - MONITORED COMMERCIAL FIRE ALARM at 7600 BLOCK OF SE FRANKLIN ST, PORTLAND, OR [Portland Fire #RP18000096330] 22:20 #pdx911",Mult Co Fire/EMS log,"(39.76637837486079, -121.55537373179789)",39.76637837486079,-121.55537373179789,POINT (-121.5553737317979 39.76637837486079)
941,pubast public assist block sw park ave portland portland fire rp pdx,0.15016263233498225,0.14365667398913345,1,"PUBAST - PUBLIC ASSIST at 1500 BLOCK OF SW PARK AVE, PORTLAND, OR [Portland Fire #RP18000096323] 21:58 #pdx911",Mult Co Fire/EMS log,"(39.782374013826214, -121.49055323085425)",39.782374013826214,-121.49055323085425,POINT (-121.4905532308542 39.78237401382621)
942,conversation secondhand smoke heat lamp burning face must prethanksgiving club stacy melrose,0.15114217317013387,0.1478775597391789,1,"Conversations, secondhand smoke and heat-lamps burning my face; must be #prethanksgiving at the club @ Stacy's at Melrose https://www.instagram.com/p/BqeOhuugFVd/?utm_source=ig_twitter_share&igshid=1doff7zxby3ar …",Alvie,"(39.79212962917733, -121.83121572206038)",39.79212962917733,-121.83121572206038,POINT (-121.8312157220604 39.79212962917733)
943,chocolate lover paradise pic twitter com qvvg x,0.1394381094795286,0.13935208793757248,1,A chocolate lovers paradise pic.twitter.com/QVVg8x5y7i,Brent,"(39.74413853372211, -121.65425207477098)",39.74413853372211,-121.65425207477098,POINT (-121.654252074771 39.74413853372211)
944,med medical se nd ave se insley st portland portland fire rp pdx,0.14819341151334992,0.1449669809202803,1,"MED - MEDICAL at SE 82ND AVE / SE INSLEY ST, PORTLAND, OR [Portland Fire #RP18000096311] 20:59 #pdx911",Mult Co Fire/EMS log,"(39.783503412430356, -121.6897021859683)",39.783503412430356,-121.6897021859683,POINT (-121.6897021859683 39.78350341243036)
945,ta ped traffic accident pedestrian bike block se division st portland portland fire rp pdx,0.1472205361387393,0.13960337429430025,1,"TA1PED - TRAFFIC ACCIDENT - PEDESTRIAN OR BIKE at 11600 BLOCK OF SE DIVISION ST, PORTLAND, OR [Portland Fire #RP18000096313] 21:07 #pdx911",Mult Co Fire/EMS log,"(39.76580172491278, -121.61400181349175)",39.76580172491278,-121.61400181349175,POINT (-121.6140018134918 39.76580172491278)
946,med medical block sw dickinson st portland portland fire rp pdx,0.14717890904832812,0.13686756854350818,1,"MED - MEDICAL at 5900 BLOCK OF SW DICKINSON ST, PORTLAND, OR [Portland Fire #RP18000096310] 20:54 #pdx911",Mult Co Fire/EMS log,"(39.62883404912348, -121.68495326185233)",39.62883404912348,-121.68495326185233,POINT (-121.6849532618523 39.62883404912348)
947,morning woke note keke joelito san diego throwbacking early thanksgiving long island paradise beautiful company southern,0.1458900343194339,0.1401259041750216,1,"This morning I woke up to a note from Keke. “Joelito, you should be in San Diego.”  Throwbacking on this early Thanksgiving from Long Island to paradise with beautiful company in Southern… https://www.instagram.com/p/BqeLpYAHDxt/?utm_source=ig_twitter_share&igshid=1dgv4vaod9txk …",JCS,"(39.91461696776893, -121.60116969306301)",39.91461696776893,-121.60116969306301,POINT (-121.601169693063 39.91461696776893)
948,ta traffic accident st response fire em block se harold st portland portland fire rp,0.14275282594134847,0.14269897097677675,1,"TA1 - TRAFFIC ACCIDENT - 1ST RESPONSE (FIRE & EMS) at 11700 BLOCK OF SE HAROLD ST, PORTLAND, OR [Portland Fire #RP18000096315] 21:31",Mult Co Fire/EMS log,"(39.602645122608344, -121.67776816278533)",39.602645122608344,-121.67776816278533,POINT (-121.6777681627853 39.60264512260834)
949,paradise lost never able replace never forget fire took away hoping day could return see,0.14206792933056744,0.14040547420524355,1,"“Paradise Lost”...we will never be able to replace what we had....and
we will never forget what the fire took away...hoping that some day we could return to see it again
...I will be… https://www.instagram.com/p/BqeK5Wxl2d-/?utm_source=ig_twitter_share&igshid=9cotu8548bj9 …",fhdphotography,"(39.54751823277886, -121.59340592951284)",39.54751823277886,-121.59340592951284,POINT (-121.5934059295128 39.54751823277886)
950,med medical block se division st portland portland fire rp pdx,0.147659044921435,0.14199358119185848,1,"MED - MEDICAL at 11600 BLOCK OF SE DIVISION ST, PORTLAND, OR [Portland Fire #RP18000096308] 20:45 #pdx911",Mult Co Fire/EMS log,"(39.82437597661529, -121.55279121282831)",39.82437597661529,-121.55279121282831,POINT (-121.5527912128283 39.82437597661529)
951,med medical block se nd ave portland portland fire rp pdx,0.14853767230140896,0.13549918821487972,1,"MED - MEDICAL at 4900 BLOCK OF SE 92ND AVE, PORTLAND, OR [Portland Fire #RP18000096307] 20:37 #pdx911",Mult Co Fire/EMS log,"(39.763755011080995, -121.75093832110811)",39.763755011080995,-121.75093832110811,POINT (-121.7509383211081 39.763755011081)
952,ta traffic accident st response fire em block se harold st portland portland fire rp pdx,0.1433238823520757,0.14172586162777595,1,"TA1 - TRAFFIC ACCIDENT - 1ST RESPONSE (FIRE & EMS) at 1700 BLOCK OF SE HAROLD ST, PORTLAND, OR [Portland Fire #RP18000096314] 21:27 #pdx911",Mult Co Fire/EMS log,"(39.681207159381884, -121.4698251214557)",39.681207159381884,-121.4698251214557,POINT (-121.4698251214557 39.68120715938188)
953,med medical sw broadway sw yamhill st portland portland fire rp pdx,0.1391339139792813,0.13658681458343902,1,"MED - MEDICAL at SW BROADWAY / SW YAMHILL ST, PORTLAND, OR [Portland Fire #RP18000096306] 20:34 #pdx911",Mult Co Fire/EMS log,"(39.77756897738353, -121.64783346707733)",39.77756897738353,-121.64783346707733,POINT (-121.6478334670773 39.77756897738353)
954,p b tobacco smoke shop san diego ca,0.13866148952605656,0.12617909487950224,1,"I'm at P.B Tobacco Smoke Shop in San Diego, CA https://www.swarmapp.com/c/lp3GY42QzDL ",sabrina orchid,"(39.7604737922413, -121.61916565208506)",39.7604737922413,-121.61916565208506,POINT (-121.6191656520851 39.7604737922413)
955,bowling game point dale wa game wa wa fire meridian idaho,0.13653075956921487,0.13464571095648362,1,"When your bowling game is on point  Dale was game 1 and 3 and i was 2 and 4.  I was on fire  @ Meridian, Idaho https://www.instagram.com/p/BqeIYi5g6OkPFOZ0YEXJogTpu_RcfWqrjBZH000/?utm_source=ig_twitter_share&igshid=1co8t2eyyjpz4 …",Cheri Kunz,"(39.857760253407754, -121.56286542311672)",39.857760253407754,-121.56286542311672,POINT (-121.5628654231167 39.85776025340775)
956,med medical block se raymond st portland portland fire rp pdx,0.14384298304366214,0.1383058218381755,1,"MED - MEDICAL at 4800 BLOCK OF SE RAYMOND ST, PORTLAND, OR [Portland Fire #RP18000096305] 20:23 #pdx911",Mult Co Fire/EMS log,"(39.77384190538202, -121.41181286141497)",39.77384190538202,-121.41181286141497,POINT (-121.411812861415 39.77384190538202)
957,med medical block se woodward st portland portland fire rp pdx,0.1437726172865335,0.1362770062169124,1,"MED - MEDICAL at 15000 BLOCK OF SE WOODWARD ST, PORTLAND, OR [Portland Fire #RP18000096301] 19:59 #pdx911",Mult Co Fire/EMS log,"(39.72546692162804, -121.71023430274667)",39.72546692162804,-121.71023430274667,POINT (-121.7102343027467 39.72546692162804)
958,eerie main camp night spooky eerie camp campfire camping night bushcraft bushcraftshelter bushcraftcamp bushcraftcamping picoftheday idaho salmonriver wilderness,0.142697188255008,0.142677950486955,1,"Our eerie main camp at night

#spooky #eerie #camp #campfire #camping #night #bushcraft #bushcraftshelter #bushcraftcamp #bushcraftcamping #picoftheday #idaho #salmonriver #wilderness… https://www.instagram.com/p/BqeHMMIhSmJ/?utm_source=ig_twitter_share&igshid=1ttpi973lfx3x …",Simon's Discoveries,"(39.80208650174482, -121.58476861200145)",39.80208650174482,-121.58476861200145,POINT (-121.5847686120015 39.80208650174482)
959,almres monitored residential fire alarm block ne nd ave portland portland fire rp pdx,0.14531266041836066,0.14317650946635366,1,"ALMRES - MONITORED RESIDENTIAL FIRE ALARM at 5600 BLOCK OF NE 42ND AVE, PORTLAND, OR [Portland Fire #RP18000096312] 21:01 #pdx911",Mult Co Fire/EMS log,"(39.77465660230771, -121.55794726589075)",39.77465660230771,-121.55794726589075,POINT (-121.5579472658907 39.77465660230771)
960,campfire thanksgivingeve vanlife boondocking nomadlife freedom holtville hotsprings,0.15032027773965545,0.13668476774995092,1,#campfire #thanksgivingeve #vanlife #boondocking #nomadlife #freedom @ Holtville Hotsprings https://www.instagram.com/p/BqeGm8LhHcN/?utm_source=ig_twitter_share&igshid=1lng19jaip5d6 …,Busking Bohemians,"(39.824871144712674, -121.4713625879012)",39.824871144712674,-121.4713625879012,POINT (-121.4713625879012 39.82487114471267)
961,paradise lost never able replace never forget fire took away hoping day could return see,0.14206792933056744,0.14040547420524355,1,"“Paradise Lost”...we will never be able to replace what we had....and
we will never forget what the fire took away...hoping that some day we could return to see it again
...I will be… https://www.instagram.com/p/BqeGiuglCQW/?utm_source=ig_twitter_share&igshid=16q13lnkxu22z …",fhdphotography,"(39.794378898271084, -121.59881412517835)",39.794378898271084,-121.59881412517835,POINT (-121.5988141251784 39.79437889827108)
962,paradise lost never able replace never forget fire took away hoping day could return see,0.14206792933056744,0.14040547420524355,1,"“Paradise Lost”...we will never be able to replace what we had....and
we will never forget what the fire took away...hoping that some day we could return to see it again
...I will be… https://www.instagram.com/p/BqeGOh0luBz/?utm_source=ig_twitter_share&igshid=28x7fjcqizz6 …",fhdphotography,"(39.75246960082818, -121.81726562268277)",39.75246960082818,-121.81726562268277,POINT (-121.8172656226828 39.75246960082818)
963,paradise lost never able replace never forget fire took away hoping day could return see,0.14206792933056744,0.14040547420524355,1,"“Paradise Lost”...we will never be able to replace what we had....and
we will never forget what the fire took away...hoping that some day we could return to see it again
...I will be… https://www.instagram.com/p/BqeFxBMFAHV/?utm_source=ig_twitter_share&igshid=179wegf2kpdoj …",fhdphotography,"(39.787205184841255, -121.56485657873398)",39.787205184841255,-121.56485657873398,POINT (-121.564856578734 39.78720518484126)
964,paradise lost never able replace never forget fire took away hoping day could return see,0.14206792933056744,0.14040547420524355,1,"“Paradise Lost”...we will never be able to replace what we had....and
we will never forget what the fire took away...hoping that some day we could return to see it again
...I will be… https://www.instagram.com/p/BqeFpS5F3d9/?utm_source=ig_twitter_share&igshid=1hsu4ynnc002c …",fhdphotography,"(39.56983150173761, -121.53429287353693)",39.56983150173761,-121.53429287353693,POINT (-121.5342928735369 39.56983150173761)
965,paradise lost never able replace never forget fire took away hoping day could return see,0.14206792933056744,0.14040547420524355,1,"“Paradise Lost”...we will never be able to replace what we had....and
we will never forget what the fire took away...hoping that some day we could return to see it again
...I will be… https://www.instagram.com/p/BqeFYhtFb0K/?utm_source=ig_twitter_share&igshid=r9g50tvnxshi …",fhdphotography,"(39.83080790647831, -121.71325622992009)",39.83080790647831,-121.71325622992009,POINT (-121.7132562299201 39.83080790647831)
966,paradise lost never able replace never forget fire took away hoping day could return see,0.14206792933056744,0.14040547420524355,1,"“Paradise Lost”...we will never be able to replace what we had....and
we will never forget what the fire took away...hoping that some day we could return to see it again
...I will be… https://www.instagram.com/p/BqeFKC1FKZd/?utm_source=ig_twitter_share&igshid=14vr4n8sg7aay …",fhdphotography,"(39.68838753191202, -121.69380730137908)",39.68838753191202,-121.69380730137908,POINT (-121.6938073013791 39.68838753191202)
967,sitting first time today longing thanksgiving eve spent sitting campfire drinking whiskey tin cup instead cooking cleaning day,0.14272723493156275,0.13988184331855086,1,"Sitting down for the first time today and longing for the Thanksgiving eve I spent sitting by a campfire drinking whiskey from a tin cup instead of cooking and cleaning all day. 
::
::
In… https://www.instagram.com/p/BqeEL0ZAmOV/?utm_source=ig_twitter_share&igshid=1zqe8s8aw2er …",Diane Bezucha,"(39.91207073445534, -121.63359532229836)",39.91207073445534,-121.63359532229836,POINT (-121.6335953222984 39.91207073445534)
968,much needed rain help clean air well fire affected area forecast end saturday santa rosa california,0.1419878598228253,0.13951444064254906,1,"  Some much needed rain to help clean the air as well as those fire affected areas. Forecast to end Saturday   @ Santa Rosa, California https://www.instagram.com/p/BqeDQ3Dhbzb/?utm_source=ig_twitter_share&igshid=71xw1goin9l5 …",Brian Guevara,"(39.55307554066968, -121.61599113763953)",39.55307554066968,-121.61599113763953,POINT (-121.6159911376395 39.55307554066968)
969,happy turkey day everyone enjoy time family friend thanksgiving family friend goodtimes campfire camping desert palm desert california,0.14306278240601686,0.1395925756286872,1,"Happy Turkey Day Everyone! Enjoy your time with Family and Friends!
#thanksgiving #family #friends #goodtimes #campfire #camping #desert @ Palm Desert, California https://www.instagram.com/p/BqeDNZVhbEd/?utm_source=ig_twitter_share&igshid=oj4nyptes57e …",mendelssohn127,"(39.765615208073456, -121.66980346358237)",39.765615208073456,-121.66980346358237,POINT (-121.6698034635824 39.76561520807346)
970,med medical block nw kearney st portland portland fire rp pdx,0.14639710661870894,0.13549491296205315,1,"MED - MEDICAL at 900 BLOCK OF NW KEARNEY ST, PORTLAND, OR [Portland Fire #RP18000096304] 20:16 #pdx911",Mult Co Fire/EMS log,"(39.75193023547532, -121.63350016115496)",39.75193023547532,-121.63350016115496,POINT (-121.633500161155 39.75193023547532)
971,med medical block sw macadam ave portland portland fire rp pdx,0.1478815707000158,0.13763161035065732,1,"MED - MEDICAL at 5100 BLOCK OF SW MACADAM AVE, PORTLAND, OR [Portland Fire #RP18000096293] 19:21 #pdx911",Mult Co Fire/EMS log,"(39.875214329391376, -121.59704252126988)",39.875214329391376,-121.59704252126988,POINT (-121.5970425212699 39.87521432939138)
972,med medical block ne nd ave portland portland fire rp pdx,0.14872552366041442,0.13285706924592966,1,"MED - MEDICAL at 1100 BLOCK OF NE 102ND AVE, PORTLAND, OR [Portland Fire #RP18000096295] 19:31 #pdx911",Mult Co Fire/EMS log,"(39.84954415804348, -121.57992966653556)",39.84954415804348,-121.57992966653556,POINT (-121.5799296665356 39.84954415804348)
973,med medical block se holgate blvd portland portland fire rp pdx,0.14439583473096548,0.13482216673496886,1,"MED - MEDICAL at 13000 BLOCK OF SE HOLGATE BLVD, PORTLAND, OR [Portland Fire #RP18000096299] 19:55 #pdx911",Mult Co Fire/EMS log,"(39.68941776353599, -121.70641754703716)",39.68941776353599,-121.70641754703716,POINT (-121.7064175470372 39.68941776353599)
974,med medical block se th ave portland portland fire rp pdx,0.14841589830592247,0.14002555460286728,1,"MED - MEDICAL at 1500 BLOCK OF SE 85TH AVE, PORTLAND, OR [Portland Fire #RP18000096289] 19:06 #pdx911",Mult Co Fire/EMS log,"(39.76651966298085, -121.67394809021316)",39.76651966298085,-121.67394809021316,POINT (-121.6739480902132 39.76651966298085)
975,med medical block ne nd ave portland portland fire rp pdx,0.14872552366041442,0.13285706924592966,1,"MED - MEDICAL at 1800 BLOCK OF NE 162ND AVE, PORTLAND, OR [Portland Fire #RP18000096290] 19:09 #pdx911",Mult Co Fire/EMS log,"(39.89970137898524, -121.66729707771032)",39.89970137898524,-121.66729707771032,POINT (-121.6672970777103 39.89970137898524)
